IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.115.199,443,443,true,FRA,Europe,Frankfurt,275,4.37
34.118.77.217,443,443,true,FRA,Europe,Frankfurt,276,4.37
34.118.115.199,443,443,true,FRA,Europe,Frankfurt,271,4.34
34.116.214.3,443,443,true,FRA,Europe,Frankfurt,275,4.32
34.118.88.129,443,443,true,FRA,Europe,Frankfurt,281,4.31
34.32.145.169,443,443,true,FRA,Europe,Frankfurt,270,4.27
34.154.149.221,443,443,true,FRA,Europe,Frankfurt,253,4.27
34.116.236.156,443,443,true,FRA,Europe,Frankfurt,273,4.26
34.118.78.109,443,443,true,FRA,Europe,Frankfurt,304,4.24
34.116.131.199,443,443,true,FRA,Europe,Frankfurt,337,4.23
34.89.186.157,443,443,true,FRA,Europe,Frankfurt,272,4.23
34.118.17.230,443,443,true,FRA,Europe,Frankfurt,297,4.21
34.118.4.189,443,443,true,FRA,Europe,Frankfurt,319,4.20
34.118.40.210,443,443,true,FRA,Europe,Frankfurt,284,4.18
34.118.78.109,443,443,true,FRA,Europe,Frankfurt,293,4.16
34.116.142.119,443,443,true,FRA,Europe,Frankfurt,351,4.15
34.116.199.155,443,443,true,FRA,Europe,Frankfurt,334,4.13
34.118.102.66,443,443,true,FRA,Europe,Frankfurt,306,4.10
34.32.159.13,443,443,true,FRA,Europe,Frankfurt,260,4.07
34.118.23.79,443,443,true,FRA,Europe,Frankfurt,281,4.03
34.116.233.234,443,443,true,FRA,Europe,Frankfurt,364,4.02
34.116.159.225,443,443,true,FRA,Europe,Frankfurt,288,4.01
34.116.255.222,443,443,true,FRA,Europe,Frankfurt,280,4.00
34.116.202.128,443,443,true,FRA,Europe,Frankfurt,280,3.99
34.118.11.212,443,443,true,FRA,Europe,Frankfurt,288,3.98
34.118.123.17,443,443,true,FRA,Europe,Frankfurt,271,3.98
34.116.204.154,443,443,true,FRA,Europe,Frankfurt,285,3.90
34.32.211.129,443,443,true,FRA,Europe,Frankfurt,267,3.90
34.107.14.208,443,443,true,FRA,Europe,Frankfurt,280,3.88
34.118.69.139,443,443,true,FRA,Europe,Frankfurt,271,3.87
34.116.203.237,443,443,true,FRA,Europe,Frankfurt,292,3.86
34.32.207.224,443,443,true,FRA,Europe,Frankfurt,263,3.84
34.89.222.45,443,443,true,FRA,Europe,Frankfurt,299,3.71
34.32.207.224,443,443,true,FRA,Europe,Frankfurt,263,3.70
